User Type,Username,Date,Text
,kristersson,2006-03-17T15:30Z,Räcker med ett uppload och inte 3
,bug03,2006-03-20T17:35Z,"After installing, this antivirus caused my ethernet connection to fail.

any idea why?"
,zsoti,2006-03-23T13:59Z,"reinstall it. :)
THX the upload."
,g_clipp,2006-03-24T01:48Z,I had an issue with it.. it asked for the disk with an .avi file .. couldnt get past it and had to delete  anyone else with this ???
,cosmoloader,2006-03-26T09:46Z,"Panda wants username and password for updates, is this a trial?"
,SveaCrew,2006-03-28T17:32Z,"Hur packar jag upp alla filer till EN fil? Jag får filer med filändelser .001. JAg förstår inte.
Snälla säg exakt hur man ska packa upp så att Daemon kan mounta det.

tack på förhand! "
,zeb_mag,2006-04-06T00:01Z,Hur installerar man? jag packa upp alla mappar i winrar en gång men sen går det inte längre..
,Roffe.L,2006-04-09T22:22Z,Om ni går in och kollar så är det olika språkversioner
,HIBBI,2006-04-10T19:36Z,"serial that works 100%: 
user: YYY0004LDZ    pass: QHTJD26G"
,libraton,2006-04-11T16:41Z,"Til dere som har problemer med å åpne .rar-filene:
Høyreklikk og hold den første .rar-fila, den helt oppe til venstre. Dra til siden og slipp. Velg ""pakk opp her"" eller ""unpack here"" eller whatever... Da åpner den alle filene på én gang siden de henger sammen. Nå kan dere si takk!"
,libraton,2006-04-11T17:48Z,What the hell kind of stupid way to pack files are this?? It's perfectly fucking OK to just seed the installation .exe
,j0k3rk1ll3r,2006-04-20T05:07Z,"I have the user and pass if anyone wants it, i made my boss buy it before i quit

USER: YYY0004GHP
PASS: 83WQ8DI9
*NOTE* ALL CAPS WHEN ENTERING, THE THREE ""0"" ARE ZEROS"
[V],jman1,2006-04-29T11:21Z,This is a trial!.. 
,Inkorrekt,2006-04-30T03:26Z,Very good antivirus! Thanks!
,Just me! ,2006-05-08T02:19Z,"Not infected by anything, and works perfect. Use j0k3rk1ll3r's username and password, and you get protection for almost a year. 

Panda Titanium is a very good program, and very simple to use. Enjoy! =)"
,Soulprint,2006-05-17T19:52Z,License expires 06-16-2006... WTF???
,mma10as,2006-07-16T12:35Z,The file is corrupt! wtf?
,The Ultimate,2006-07-30T04:31Z,"Don't download this!
How about virus???...
The username and pwd does't work!"
,stamenid,2006-08-03T22:38Z,"This is best antivirus.
If you had some other antivirus before you instal panda its write how automatic protection dont work... but its works...
This pass works great.But expires 27.03.2007.
USER: YYY0004GHP 
PASS: 83WQ8DI9 



also try:
USER: YYY0004LDZ
PASS: QHTJD26G


or this:
USER: ZZZ1111YAR
PASS: KVETF8GF"
,sontemente,2006-08-25T01:21Z,can some one seed plz? :)
,malarlbeth,2006-11-05T20:35Z,"It works like a charm!
BUT after about 1 day it asls for UN and PW. And none of the UN and PW posted here works...
Even without the UN and PW the program works nice but it is not possible to update."
,eqt,2007-03-03T22:29Z,"Användarnamn CCFKCD87FY

Lösenord
 ET6BNYDJ"
,mr.spooky,2007-03-21T16:06Z,i don't know if the file is corrupt.. but the passwords and usernames works perfectly....
