Filename,Size,Unit
/101-gloria_gaynor-i_will_survive.mp3,3.43,M
/102-irene_cara-flashdance_(what_a_feeling).mp3,4.55,M
/103-commodores-keep_on_dancing.mp3,3.18,M
/104-imagination-just_an_illusion.mp3,3.87,M
/105-chic-le_freak.mp3,5.92,M
/106-marvin_gaye-sexual_healing_(live).mp3,5.52,M
/107-barry_white-out_of_the_shadows_of_love.mp3,3.68,M
/108-the_temptations-papa_was_a_rolling_stone.mp3,9.12,M
/109-sabrina-sexy_girl.mp3,4.4,M
/110-limahl-too_shy.mp3,4.08,M
/111-alvin_king-suspicious_minds.mp3,3.91,M
/112-boystown_gang-wanted_for_murder.mp3,8.63,M
/113-heatwave-boogie_nights.mp3,4.5,M
/114-tpau-china_in_your_hand.mp3,6.43,M
/201-the_trammps-disco_inferno.mp3,4.92,M
/202-sabrina-boys.mp3,5.02,M
/203-james_brown-sex_machine.mp3,8.39,M
/204-sister_sledge-we_are_family.mp3,3.91,M
/205-tina_charles-i_love_to_love.mp3,3.8,M
/206-david_christie-saddle_up.mp3,3.97,M
/207-odyssey-going_back_to_my_roots.mp3,4.67,M
/208-earth_wind_and_fire-boogie_wonderland.mp3,3.94,M
/209-johnny_wakelin-in_zaire.mp3,4.61,M
/210-jimmy_bo_horne-dance_across_the_floor.mp3,5,M
/211-bohannon-stomp_(2_highs_u.k._clubmix).mp3,9.83,M
/212-billy_ocean-on_the_run_(hold_on_brother).mp3,4.71,M
/213-john_travolta-greased_lightnin.mp3,3.87,M
/214-rose_royce-car_wash.mp3,3.3,M
/va-the_best_of_disco_70s_and_80s-(2007)-back.jpg,674.22,K
/va-the_best_of_disco_70s_and_80s-(2007)-front.jpg,835.92,K
