User Type,Username,Date,Text
,stones7000,2006-08-14T19:05Z,ehh seeding
,Sjaakie2,2006-08-16T11:42Z,"my bittorrent client has this torrent open for 2 days now

@10% and again, no seeders .. way to go rezjasuf!"
,Allen_rz,2006-08-28T21:38Z,5% left... plz seed a little bit
,raydeness,2006-09-12T01:35Z,"Hi, a lot of ppl are stuck around 96.2 % , could someone please reseed it. I would seed for the next few weeks, Thanks. "
,chetwah,2006-10-24T02:45Z,Please seed!
,Chebizza,2007-05-29T00:11Z,"Cannot download
Keep getting
Error! got bad file info - bad bencoded data"
,somedudeppf,2007-12-19T01:16Z,I have a hardon for 11392 if anyone has seen it
,lover87,2009-09-15T17:42Z,"TEMPLATE2P INVITES AVAILABLE !!!!!!!!!!!!!!!
TEMPLATE2P INVITES AVAILABLE !!!!!!!!!!!!!!!
TEMPLATE2P INVITES AVAILABLE !!!!!!!!!!!!!!!

I apologize to all those people I couldn't serve. People who mailed me requests for templatep2p invite and due to limited invites I couldn't satisfy 5-6 requests a day!!!

I am in crying need of REVOLUTIONTT invite!!! 
I have been offered revolutiontt invite for $30 (which I don't wanna shell out)!!
If anyone of you can spare me a revolutiontt invite, I can get you templatep2p right away. 
Let me know at: 
abhinav.chikara[at]gmail.com
(replace '[at]' with '@')
I have a couple of them left. 
Hope to hear from you people soon."
,Fuaath,2009-11-01T09:07Z,"please can someone send me an invite, my email - fuaath@hotmail.co.uk thank you very much in advance"
,vanillashake,2010-01-27T21:11Z,Could someone please throw me an invite to templatep2p I would appreciate it. Thank you in advance. vanillashake83[at]yahoo.com
,serium,2010-01-28T19:26Z,"Looking for templatep2p invite.  I will trade with demonoid.  First come first serve:

runaway539@hotmail.com"
,ash2ash2,2010-01-31T02:12Z,"plz can someone invite me , im very poor student i need this invite plz my email is : 
i.against.me@hotmail.com"
,txhepoker,2010-02-14T06:11Z,"i was wondering if anybody can send me invite code for templatep2p.com

Thank you!

txhepoker@yahoo.com"
,a_bonilla,2010-02-26T05:25Z,"Hola

PLEASE send Invitation for templatep2p.com!

my email address is: a_bonilla@yahoo.com


THANKS in advance. Muchas Gracias"
,DeviousIntntions,2010-03-27T01:42Z,"If anyone has template 10758 I'd love to have it and would greatful if you could email it to me!

Deviousintntions[at]yahoo.com"
,ramz3,2010-04-16T05:05Z,"nuhamz.forum@gmail.com
please invite me"
,mooodey,2010-04-30T06:09Z,"invite me please ask4rfsaeed(at)hotmail.com

PLEASE INVITE "
,andystha,2010-05-11T22:10Z,"www.template2p.com REQUEST Please....!!!!

echitwan.com.np@gmail.com"
,meopensource123,2010-06-15T06:30Z,PLEASE HELP ME WITH A INVITE IN TEMPLATEP2P   meopensource123@rediffmail.com
,tralala236,2010-12-09T08:07Z,"Please can someone send me an invite me - TemplateP2P, my email - gadjev@gmail.com. Thank you very much in advance."
,eyekill3dk3nny,2011-03-08T06:41Z,"Looking for TEMPLATE P2P INVITE!?

I have Demonoid Invites For trade ;)

email me at karni64webdev@gmail.com "
,cccurrent,2011-03-19T20:03Z,need invite code please itsme@ccgcurrent.com
,LegoBankai,2011-03-27T22:56Z,"Would love an invite lore_xe@hotmail.com

Cheers"
,tralala236,2011-05-25T11:44Z,"Please, if someone have Template Monster #33.695 and is so kind to upload it here, would be very grateful. gadjev@gmail.com
thank you in advance!"
,burello,2011-06-06T23:24Z,"I have tons and ons of Template Monster templates. Send an invite to service@sd-computer-repair.com.
Thanks."
,koomely,2011-10-24T13:21Z,hey ! plz add me to koomely@gmail.com
,supernut66,2011-10-31T13:31Z,"please also send me an invite someone

supernut66@hotmail.com"
,farhaan8,2011-12-09T22:04Z,"hey can u upload template monster 26000 series??
reply me if yes, i want those templates"
,kaushalmania1,2012-01-29T23:51Z,Please invite me : kaushalmania@hotmail.com
,dimg100,2012-03-22T16:03Z,"can u invite me to TemplateP2P.com?

email: dimitris.geor100@gmail.com

thanks... dimitris"
,bol777,2012-04-15T21:23Z,"Please send me an invite.
nab707@gmail.com

Thanks alot:)"
,Mr-i,2012-05-29T08:34Z,"please brother invite me on sattar_max@hotmail.com

i really appreciate your help,
Thanks"
,everyman9000,2012-05-31T23:56Z,"please invite me binkyrules@hotmail.com

id really appreciate it!"
